----------------------------------------------------------------
     Layer.Parameter         Param Tensor Shape         Param #
dynamics.egnn.e_block_4.gcl_equiv.coord_mlp.0.bias                      [192]             192
dynamics.egnn.e_block_4.gcl_equiv.coord_mlp.2.weight                 [192, 192]           36864
dynamics.egnn.e_block_4.gcl_equiv.coord_mlp.2.bias                      [192]             192
dynamics.egnn.e_block_4.gcl_equiv.coord_mlp.4.weight                   [1, 192]             192
dynamics.egnn.e_block_5.gcl_0.edge_mlp.0.weight                 [192, 386]           74112
dynamics.egnn.e_block_5.gcl_0.edge_mlp.0.bias                      [192]             192
dynamics.egnn.e_block_5.gcl_0.edge_mlp.2.weight                 [192, 192]           36864
dynamics.egnn.e_block_5.gcl_0.edge_mlp.2.bias                      [192]             192
dynamics.egnn.e_block_5.gcl_0.node_mlp.0.weight                 [192, 384]           73728
dynamics.egnn.e_block_5.gcl_0.node_mlp.0.bias                      [192]             192
dynamics.egnn.e_block_5.gcl_0.node_mlp.2.weight                 [192, 192]           36864
dynamics.egnn.e_block_5.gcl_0.node_mlp.2.bias                      [192]             192
dynamics.egnn.e_block_5.gcl_0.att_mlp.0.weight                   [1, 192]             192
dynamics.egnn.e_block_5.gcl_0.att_mlp.0.bias                        [1]               1
dynamics.egnn.e_block_5.gcl_equiv.coord_mlp.0.weight                 [192, 386]           74112
dynamics.egnn.e_block_5.gcl_equiv.coord_mlp.0.bias                      [192]             192
dynamics.egnn.e_block_5.gcl_equiv.coord_mlp.2.weight                 [192, 192]           36864
dynamics.egnn.e_block_5.gcl_equiv.coord_mlp.2.bias                      [192]             192
dynamics.egnn.e_block_5.gcl_equiv.coord_mlp.4.weight                   [1, 192]             192
dynamics.egnn.e_block_6.gcl_0.edge_mlp.0.weight                 [192, 386]           74112
dynamics.egnn.e_block_6.gcl_0.edge_mlp.0.bias                      [192]             192
dynamics.egnn.e_block_6.gcl_0.edge_mlp.2.weight                 [192, 192]           36864
dynamics.egnn.e_block_6.gcl_0.edge_mlp.2.bias                      [192]             192
dynamics.egnn.e_block_6.gcl_0.node_mlp.0.weight                 [192, 384]           73728
dynamics.egnn.e_block_6.gcl_0.node_mlp.0.bias                      [192]             192
dynamics.egnn.e_block_6.gcl_0.node_mlp.2.weight                 [192, 192]           36864
dynamics.egnn.e_block_6.gcl_0.node_mlp.2.bias                      [192]             192
dynamics.egnn.e_block_6.gcl_0.att_mlp.0.weight                   [1, 192]             192
dynamics.egnn.e_block_6.gcl_0.att_mlp.0.bias                        [1]               1
dynamics.egnn.e_block_6.gcl_equiv.coord_mlp.0.weight                 [192, 386]           74112
dynamics.egnn.e_block_6.gcl_equiv.coord_mlp.0.bias                      [192]             192
dynamics.egnn.e_block_6.gcl_equiv.coord_mlp.2.weight                 [192, 192]           36864
dynamics.egnn.e_block_6.gcl_equiv.coord_mlp.2.bias                      [192]             192
dynamics.egnn.e_block_6.gcl_equiv.coord_mlp.4.weight                   [1, 192]             192
dynamics.egnn.e_block_7.gcl_0.edge_mlp.0.weight                 [192, 386]           74112
dynamics.egnn.e_block_7.gcl_0.edge_mlp.0.bias                      [192]             192
dynamics.egnn.e_block_7.gcl_0.edge_mlp.2.weight                 [192, 192]           36864
dynamics.egnn.e_block_7.gcl_0.edge_mlp.2.bias                      [192]             192
