----------------------------------------------------------------
     Layer.Parameter         Param Tensor Shape         Param #
dynamics.egnn.e_block_4.gcl_equiv.coord_mlp.0.bias                      [256]             256
dynamics.egnn.e_block_4.gcl_equiv.coord_mlp.2.weight                 [256, 256]           65536
dynamics.egnn.e_block_4.gcl_equiv.coord_mlp.2.bias                      [256]             256
dynamics.egnn.e_block_4.gcl_equiv.coord_mlp.4.weight                   [1, 256]             256
dynamics.egnn.e_block_5.gcl_0.edge_mlp.0.weight                 [256, 514]          131584
dynamics.egnn.e_block_5.gcl_0.edge_mlp.0.bias                      [256]             256
dynamics.egnn.e_block_5.gcl_0.edge_mlp.2.weight                 [256, 256]           65536
dynamics.egnn.e_block_5.gcl_0.edge_mlp.2.bias                      [256]             256
dynamics.egnn.e_block_5.gcl_0.node_mlp.0.weight                 [256, 512]          131072
dynamics.egnn.e_block_5.gcl_0.node_mlp.0.bias                      [256]             256
dynamics.egnn.e_block_5.gcl_0.node_mlp.2.weight                 [256, 256]           65536
dynamics.egnn.e_block_5.gcl_0.node_mlp.2.bias                      [256]             256
dynamics.egnn.e_block_5.gcl_0.att_mlp.0.weight                   [1, 256]             256
dynamics.egnn.e_block_5.gcl_0.att_mlp.0.bias                        [1]               1
dynamics.egnn.e_block_5.gcl_equiv.coord_mlp.0.weight                 [256, 514]          131584
dynamics.egnn.e_block_5.gcl_equiv.coord_mlp.0.bias                      [256]             256
dynamics.egnn.e_block_5.gcl_equiv.coord_mlp.2.weight                 [256, 256]           65536
dynamics.egnn.e_block_5.gcl_equiv.coord_mlp.2.bias                      [256]             256
dynamics.egnn.e_block_5.gcl_equiv.coord_mlp.4.weight                   [1, 256]             256
dynamics.egnn.e_block_6.gcl_0.edge_mlp.0.weight                 [256, 514]          131584
dynamics.egnn.e_block_6.gcl_0.edge_mlp.0.bias                      [256]             256
dynamics.egnn.e_block_6.gcl_0.edge_mlp.2.weight                 [256, 256]           65536
dynamics.egnn.e_block_6.gcl_0.edge_mlp.2.bias                      [256]             256
dynamics.egnn.e_block_6.gcl_0.node_mlp.0.weight                 [256, 512]          131072
dynamics.egnn.e_block_6.gcl_0.node_mlp.0.bias                      [256]             256
dynamics.egnn.e_block_6.gcl_0.node_mlp.2.weight                 [256, 256]           65536
dynamics.egnn.e_block_6.gcl_0.node_mlp.2.bias                      [256]             256
dynamics.egnn.e_block_6.gcl_0.att_mlp.0.weight                   [1, 256]             256
dynamics.egnn.e_block_6.gcl_0.att_mlp.0.bias                        [1]               1
dynamics.egnn.e_block_6.gcl_equiv.coord_mlp.0.weight                 [256, 514]          131584
dynamics.egnn.e_block_6.gcl_equiv.coord_mlp.0.bias                      [256]             256
dynamics.egnn.e_block_6.gcl_equiv.coord_mlp.2.weight                 [256, 256]           65536
dynamics.egnn.e_block_6.gcl_equiv.coord_mlp.2.bias                      [256]             256
dynamics.egnn.e_block_6.gcl_equiv.coord_mlp.4.weight                   [1, 256]             256
dynamics.egnn.e_block_7.gcl_0.edge_mlp.0.weight                 [256, 514]          131584
dynamics.egnn.e_block_7.gcl_0.edge_mlp.0.bias                      [256]             256
dynamics.egnn.e_block_7.gcl_0.edge_mlp.2.weight                 [256, 256]           65536
dynamics.egnn.e_block_7.gcl_0.edge_mlp.2.bias                      [256]             256
dynamics.egnn.e_block_7.gcl_0.node_mlp.0.weight                 [256, 512]          131072
dynamics.egnn.e_block_7.gcl_0.node_mlp.0.bias                      [256]             256
dynamics.egnn.e_block_7.gcl_0.node_mlp.2.weight                 [256, 256]           65536
dynamics.egnn.e_block_7.gcl_0.node_mlp.2.bias                      [256]             256
dynamics.egnn.e_block_7.gcl_0.att_mlp.0.weight                   [1, 256]             256
dynamics.egnn.e_block_7.gcl_0.att_mlp.0.bias                        [1]               1
dynamics.egnn.e_block_7.gcl_equiv.coord_mlp.0.weight                 [256, 514]          131584
dynamics.egnn.e_block_7.gcl_equiv.coord_mlp.0.bias                      [256]             256
dynamics.egnn.e_block_7.gcl_equiv.coord_mlp.2.weight                 [256, 256]           65536
dynamics.egnn.e_block_7.gcl_equiv.coord_mlp.2.bias                      [256]             256
dynamics.egnn.e_block_7.gcl_equiv.coord_mlp.4.weight                   [1, 256]             256
dynamics.egnn.e_block_8.gcl_0.edge_mlp.0.weight                 [256, 514]          131584
dynamics.egnn.e_block_8.gcl_0.edge_mlp.0.bias                      [256]             256
dynamics.egnn.e_block_8.gcl_0.edge_mlp.2.weight                 [256, 256]           65536
dynamics.egnn.e_block_8.gcl_0.edge_mlp.2.bias                      [256]             256
dynamics.egnn.e_block_8.gcl_0.node_mlp.0.weight                 [256, 512]          131072
dynamics.egnn.e_block_8.gcl_0.node_mlp.0.bias                      [256]             256
dynamics.egnn.e_block_8.gcl_0.node_mlp.2.weight                 [256, 256]           65536
dynamics.egnn.e_block_8.gcl_0.node_mlp.2.bias                      [256]             256
dynamics.egnn.e_block_8.gcl_0.att_mlp.0.weight                   [1, 256]             256
dynamics.egnn.e_block_8.gcl_0.att_mlp.0.bias                        [1]               1
dynamics.egnn.e_block_8.gcl_equiv.coord_mlp.0.weight                 [256, 514]          131584
dynamics.egnn.e_block_8.gcl_equiv.coord_mlp.0.bias                      [256]             256
dynamics.egnn.e_block_8.gcl_equiv.coord_mlp.2.weight                 [256, 256]           65536
dynamics.egnn.e_block_8.gcl_equiv.coord_mlp.2.bias                      [256]             256
dynamics.egnn.e_block_8.gcl_equiv.coord_mlp.4.weight                   [1, 256]             256
vae.encoder.egnn.embedding.weight                   [256, 6]            1536
vae.encoder.egnn.embedding.bias                      [256]             256
vae.encoder.egnn.embedding_out.weight                 [256, 256]           65536
vae.encoder.egnn.embedding_out.bias                      [256]             256
vae.encoder.egnn.e_block_0.gcl_0.edge_mlp.0.weight                 [256, 514]          131584
vae.encoder.egnn.e_block_0.gcl_0.edge_mlp.0.bias                      [256]             256
vae.encoder.egnn.e_block_0.gcl_0.edge_mlp.2.weight                 [256, 256]           65536
vae.encoder.egnn.e_block_0.gcl_0.edge_mlp.2.bias                      [256]             256
vae.encoder.egnn.e_block_0.gcl_0.node_mlp.0.weight                 [256, 512]          131072
vae.encoder.egnn.e_block_0.gcl_0.node_mlp.0.bias                      [256]             256
vae.encoder.egnn.e_block_0.gcl_0.node_mlp.2.weight                 [256, 256]           65536
vae.encoder.egnn.e_block_0.gcl_0.node_mlp.2.bias                      [256]             256
vae.encoder.egnn.e_block_0.gcl_0.att_mlp.0.weight                   [1, 256]             256
vae.encoder.egnn.e_block_0.gcl_0.att_mlp.0.bias                        [1]               1
vae.encoder.egnn.e_block_0.gcl_equiv.coord_mlp.0.weight                 [256, 514]          131584
vae.encoder.egnn.e_block_0.gcl_equiv.coord_mlp.0.bias                      [256]             256
vae.encoder.egnn.e_block_0.gcl_equiv.coord_mlp.2.weight                 [256, 256]           65536
vae.encoder.egnn.e_block_0.gcl_equiv.coord_mlp.2.bias                      [256]             256
vae.encoder.egnn.e_block_0.gcl_equiv.coord_mlp.4.weight                   [1, 256]             256
vae.encoder.final_mlp.0.weight                 [256, 256]           65536
vae.encoder.final_mlp.0.bias                      [256]             256
vae.encoder.final_mlp.2.weight                   [3, 256]             768
vae.encoder.final_mlp.2.bias                        [3]               3
vae.decoder.egnn.embedding.weight                   [256, 1]             256
